question,answers,wrongChoices,explanation,ordered,generatedWrongChoices,category
肥育後期 とは？,肥育第3段階（仕上げ）。22〜28ヶ月齢。脂肪の質向上、肉色・脂肪色を整える。,,Tag: 繁殖・肥育 / カテゴリ: 飼養 / 要点: 出荷体重約700〜750kg｜と畜場へ出荷,,,飼養
ルーメン とは？,牛の第1胃。微生物による発酵で粗飼料を分解・消化する。,,Tag: 繁殖・肥育 / カテゴリ: 飼料 / 要点: 肥育前期で適切に発達させることが重要｜濃厚飼料の過給はルーメンアシドーシスの原因,,,飼料
濃厚飼料 とは？,トウモロコシ、大麦、配合飼料など、栄養濃度が高くTDNの多い飼料。,,Tag: 繁殖・肥育 / カテゴリ: 飼料 / 要点: 自給率約13%（ほぼ輸入依存）｜4〜10.5kg/日給与｜価格変動リスク大（2022年史上高値）,,,飼料
粗飼料 とは？,稲わら、牧草、サイレージなど、繊維質が多く体積の大きな飼料。,,Tag: 繁殖・肥育 / カテゴリ: 飼料 / 要点: 自給率78%が国産｜ルーメン発達の基盤｜肥育前期で十分給与,,,飼料
脂肪交雑 とは？,筋肉の中に白い脂肪が網目状に入り込んだ状態。霜降り・サシ。和牛肉質の最重要指標。,,Tag: 繁殖・肥育 / カテゴリ: 飼料・肉質 / 要点: BMSでNo.1〜12評価｜肉質5はBMS No.8以上｜ビタミンAコントロールで促進,,,飼料・肉質
ビタミンAコントロール とは？,肥育中期に飼料中のビタミンAを制限し、血中濃度を30〜50IU/dlに維持する技術。霜降り形成の核心。,,Tag: 繁殖・肥育 / カテゴリ: 飼養技術 / 要点: 脂肪前駆細胞の分化促進｜15IU/dl以下はリスク（摂取量低下・四肢むくみ）,,,飼養技術
もと畜費 とは？,素牛（子牛）の購入費用。肥育農家が子牛セリ市で買い入れる代金。,,Tag: 繁殖・肥育 / カテゴリ: コスト / 要点: 生産費の55.6%（最大）｜令和4年約78万円/頭｜子牛価格に直結,,,コスト
飼料費 とは？,濃厚飼料・粗飼料の購入および自給飼料の評価額。,,Tag: 繁殖・肥育 / カテゴリ: コスト / 要点: 生産費の32.2%｜令和4年約45万円/頭｜もと畜費と合わせて約9割,,,コスト
飼料自給率 とは？,国内消費飼料のうち国産で賄える割合（カロリーベース）。,,Tag: 繁殖・肥育 / カテゴリ: コスト・政策 / 要点: 全体26%（政府目標34%）｜粗飼料78%国産｜濃厚飼料13%国産←最大の脆弱性,,,コスト・政策
個体識別番号 とは？,牛トレーサビリティ法に基づき、出生時に付与される10桁の識別番号。,,Tag: 繁殖・肥育 / カテゴリ: トレーサビリティ / 要点: 生涯一意に識別｜家畜改良センターに登録｜両耳に耳標で装着｜消費者がWeb検索で履歴確認可能,,,トレーサビリティ
牛トレーサビリティ法 とは？,牛の個体識別情報の管理及び伝達に関する特別措置法（2003年施行）。BSE問題を契機に成立。,,Tag: 繁殖・肥育 / カテゴリ: トレーサビリティ / 要点: 出生からと畜・流通までの履歴追跡｜飲食店（焼肉・しゃぶしゃぶ・すき焼き・ステーキ）は個体識別番号掲示・帳簿備付け義務,,,トレーサビリティ
家畜改良センター とは？,農林水産省所管の独立行政法人。種雄牛・精液供給、個体識別DB管理、家畜改良の調査・研究。,,Tag: 繁殖・肥育 / カテゴリ: トレーサビリティ・支援 / 要点: 個体識別番号のデータベース管理｜消費者向け検索サービス｜精液供給元,,,トレーサビリティ・支援
担い手不足 とは？,畜産・農業における労働力・経営継承者の不足。,,Tag: 繁殖・肥育 / カテゴリ: 業界課題 / 要点: 平均年齢約70歳｜5年で約1万戸離農｜後継者なし約30%｜20代従事わずか約5%,,,業界課題
二極化 とは？,経営規模の二極化。大規模経営の拡大と小規模層の減少が同時進行。,,Tag: 繁殖・肥育 / カテゴリ: 業界課題 / 要点: 200頭以上層が61%｜小規模層（1〜4頭）年9.1%減｜法人経営体は増加,,,業界課題
飼料会社 とは？,配合飼料・濃厚飼料の製造・販売を行う企業。,,Tag: 繁殖・肥育 / カテゴリ: 支援レイヤー / 要点: 飼料の安定供給｜飼料設計の支援も提供｜原料輸入依存・価格変動リスク,,,支援レイヤー
飼料設計 とは？,月齢・段階・目的に応じて、給与する飼料の種類・量・配合を設計すること。,,Tag: 繁殖・肥育 / カテゴリ: 支援レイヤー / 要点: 肥育の成果を左右する重要技術｜濃厚・粗飼料の割合、ビタミンA含量等｜飼料会社・獣医・コンサルが担い手,,,支援レイヤー
認証・規格（ハラール等） とは？,食肉・食品の品質・信頼性を保証する認証。ハラール認証、トレーサビリティ、地理的表示（GI）等。,,Tag: 繁殖・肥育 / カテゴリ: 支援レイヤー / 要点: ハラールはと畜場・加工施設の認証が必須｜1次産業では肥育段階でハラール対応飼料等が求められる場合あり,,,支援レイヤー
コールドチェーン とは？,低温を維持した物流システム。食肉の鮮度・品質を保持。,,Tag: 加工・流通 / カテゴリ: 卸売 / 要点: 低温物流市場¥1.92兆｜ニチレイロジ=国内1位/世界5位,,,卸売
水平分業型 とは？,各段階を専門業者が担う経営モデル。,,Tag: 加工・流通 / カテゴリ: 卸売 / 要点: 垂直統合より利益率低い傾向｜約1%,,,卸売
垂直統合モデル とは？,飼料調達から加工・販売まで一貫して自社で行う経営モデル。,,Tag: 加工・流通 / カテゴリ: 卸売 / 要点: 大手卸売5社の主流｜営業利益率約4%｜水平分業型は約1%,,,卸売
部位別等価係数 とは？,各部位の価値を数値化した係数。精肉換算原価の配分に使用。,,Tag: 加工・流通 / カテゴリ: 加工 / 要点: シャトーブリアン高値｜うちもも等は低値｜原価計算の基礎,,,加工
13部位 とは？,牛部分肉取引規格で定められた部位。かた・リブロース・サーロイン等。,,Tag: 加工・流通 / カテゴリ: 加工 / 要点: 部位別等価係数で原価を配分,,,加工
精肉 とは？,部分肉をさらに整形・カットした小売用の肉。,,Tag: 加工・流通 / カテゴリ: 加工 / 要点: 歩留まり約90%｜枝肉450kg→精肉290kg,,,加工
部分肉 とは？,枝肉を13部位に分割した状態。商品として流通可能。,,Tag: 加工・流通 / カテゴリ: 加工 / 要点: 牛部分肉取引規格で13部位を定義,,,加工
歩留まり とは？,原料から得られる製品の割合。枝肉450kg→部分肉320kg（71%）→精肉290kg（90%）。,,Tag: 加工・流通 / カテゴリ: 加工 / 要点: 加工ロスを表す｜原価計算に影響,,,加工
真空包装 とは？,部分肉加工の最終工程。脱気して密封包装。,,Tag: 加工・流通 / カテゴリ: 加工 / 要点: 鮮度保持｜賞味期限延長,,,加工
小分割・脱骨 とは？,部分肉加工の第4工程。骨を除去し、部位ごとに切り分ける。,,Tag: 加工・流通 / カテゴリ: 加工 / 要点: 熟練技術を要する｜AI脱骨ロボットの開発も進行中,,,加工
大分割 とは？,部分肉加工の第3工程。半丸をまえ・ロイン・ともバラ・ももに分割。,,Tag: 加工・流通 / カテゴリ: 加工 / 要点: 4ブロックに分割｜脱骨の前提,,,加工
検品 とは？,部分肉加工の第2工程。外観検査・重量計測。,,Tag: 加工・流通 / カテゴリ: 加工 / 要点: 色沢・脂肪の状態・傷の有無を確認,,,加工
枝肉管理 とは？,部分肉加工の第1工程。冷蔵庫から枝肉搬出、個体識別・格付照合。,,Tag: 加工・流通 / カテゴリ: 加工 / 要点: 温度管理0〜4℃維持,,,加工
部分肉加工 とは？,枝肉を13部位に分割し、商品化する工程。7工程で実施。,,Tag: 加工・流通 / カテゴリ: 加工 / 要点: 枝肉管理→検品→大分割→小分割・脱骨→整形→真空包装,,,加工
相対取引 とは？,市場を経由せず、売り手と買い手が直接価格を決めて取引する方式。,,Tag: 加工・流通 / カテゴリ: 卸売 / 要点: 現在の主流｜セリ・入札は約10%に低下,,,卸売
電子機械ゼリ とは？,卸売市場での電子式競り取引。枝肉1本あたり約20秒で落札。,,Tag: 加工・流通 / カテゴリ: 卸売 / 要点: 相対取引が90%超に増加｜セリ割合は低下傾向,,,卸売
建値 とは？,市場で形成される基準価格。全国の取引価格の指標となる。,,Tag: 加工・流通 / カテゴリ: 卸売 / 要点: 芝浦食肉市場が全国の建値形成拠点,,,卸売
卸売市場 とは？,食肉の卸売取引が行われる市場。芝浦・南港が中核。,,Tag: 加工・流通 / カテゴリ: 卸売 / 要点: 芝浦=全国の建値形成｜南港=年間¥223億,,,卸売
ハラール対応と畜場 とは？,イスラム法に基づいたと畜処理が可能な施設。,,Tag: 加工・流通 / カテゴリ: 格付け / 要点: 全国約8ヶ所｜三田・ゼンカイ・SEミート等｜ムスリムと畜者が必須,,,格付け
輸出認定 とは？,輸出先国の衛生要件を満たしたと畜場・加工施設への認定。,,Tag: 加工・流通 / カテゴリ: 格付け / 要点: 国ごとに要件が異なる｜ハラールは別途認証,,,格付け
HACCP とは？,危害要因分析に基づく衛生管理手法。輸出には輸出先国の認定が必要。,,Tag: 加工・流通 / カテゴリ: 格付け / 要点: 米国16・EU12・台湾28施設が認定｜食肉衛生の国際標準,,,格付け
A5/A4 とは？,歩留等級Aと肉質等級5/4の組み合わせ。和牛の格付け表示。,,"Tag: 加工・流通 / カテゴリ: 格付け / 要点: ""A5率63%｜A4以上90%｜A5枝肉価格¥2,686/kg""",,,格付け
脂肪交雑 とは？,筋肉内に入り込んだ脂肪の状態。霜降り・サシ。,,Tag: 加工・流通 / カテゴリ: 格付け / 要点: 和牛肉質の最重要指標｜BMSで12段階評価,,,格付け
BMS とは？,Beef Marbling Standard。脂肪交雑（霜降り）をNo.1〜12で評価。,,Tag: 加工・流通 / カテゴリ: 格付け / 要点: 肉質評価の最重要項目｜No.12は最高の霜降り（極めて稀）,,,格付け
肉質等級 とは？,BMS・肉色・締まり・脂肪色の4項目で評価。1〜5の5段階。,,Tag: 加工・流通 / カテゴリ: 格付け / 要点: 4項目の最低評価が等級に｜A5はBMS No.8以上必須,,,格付け
歩留等級 とは？,枝肉から取れる部分肉・精肉の割合を示す等級。A/B/Cの3段階。,,Tag: 加工・流通 / カテゴリ: 格付け / 要点: A: 基準値72以上｜B: 69〜72未満｜C: 69未満,,,格付け
JMGA格付け とは？,日本食肉格付協会による枝肉の品質評価。歩留等級×肉質等級の15段階。,,Tag: 加工・流通 / カテゴリ: 格付け / 要点: 格付員200名｜年間90万頭｜歩留A/B/C × 肉質1〜5,,,格付け
枝肉 とは？,と畜後に内臓・頭・皮・四肢先端を除去し、背割りした状態の肉。,,Tag: 加工・流通 / カテゴリ: 屠畜 / 要点: 半丸×2で1頭分｜約450kg｜格付け後セリ・相対取引で売買,,,屠畜
冷却熟成 とは？,枝肉を冷蔵庫で24〜48時間冷却し、肉質を安定させる工程。,,Tag: 加工・流通 / カテゴリ: 屠畜 / 要点: 枝肉約450kg/頭｜熟成で味・食感が向上,,,屠畜
背割り とは？,と畜処理の工程。背骨に沿って左右に二分割すること。,,Tag: 加工・流通 / カテゴリ: 屠畜 / 要点: 枝肉（半丸×2）の完成｜格付けは左半丸の第6〜7肋骨間で実施,,,屠畜
内臓摘出 とは？,と畜処理の工程。内臓を取り出すこと。,,Tag: 加工・流通 / カテゴリ: 屠畜 / 要点: 可食部と非可食部の分離,,,屠畜
剥皮 とは？,と畜処理の工程。皮を剥ぎ取ること。,,Tag: 加工・流通 / カテゴリ: 屠畜 / 要点: 内臓摘出・背割りに先立つ,,,屠畜
放血 とは？,と畜処理の工程。頸動脈を切断して血液を体外に排出。,,Tag: 加工・流通 / カテゴリ: 屠畜 / 要点: 十分な放血が肉質に影響｜ハラールでは必須要件,,,屠畜
電撃失神 とは？,と畜時の最初の工程。牛を感覚消失させて苦痛を軽減する方法。,,Tag: 加工・流通 / カテゴリ: 屠畜 / 要点: 放血前に行う｜アニマルウェルフェアの観点で重要,,,屠畜
と畜場 とは？,牛をと畜し枝肉に加工する施設。食肉衛生法に基づく許可制。,,Tag: 加工・流通 / カテゴリ: 屠畜 / 要点: 全国164施設｜68%が築30年超｜電撃失神→放血→剥皮→内臓摘出→背割り,,,屠畜
肥育農家 とは？,"子牛セリ市で素牛を購入し、約20〜22ヶ月間肥育してと畜場へ出荷する農家。繁殖農家とは別に、「肉牛を仕上げる」ことに特化した畜産経営体。,""購入先: 子牛セリ市（繁殖農家が出荷した生後8〜9ヶ月齢の子牛）",,Tag: 繁殖・肥育 / カテゴリ: メインフロー / 要点: ,,,メインフロー
肥育期間: 約20〜22ヶ月 とは？,,,Tag: undefined / カテゴリ: undefined / 要点: ,,,
出荷: 28〜30ヶ月齢、約700〜750kgでと畜場へ とは？,,,Tag: undefined / カテゴリ: undefined / 要点: ,,,
"目的: 霜降り（脂肪交雑）を形成し、高品質な枝肉を生産"" とは？",,,Tag: undefined / カテゴリ: undefined / 要点: ,,,
