question,answers,wrongChoices,explanation,ordered,generatedWrongChoices
10進数 100 を8進数に変換せよ,144,124;154;134,"100÷8=12…4, 12÷8=1…4, 1÷8=0…1 → 144₈",,
8進数 77 を10進数に変換せよ,63,56;49;77,7×8¹+7×8⁰ = 56+7 = 63,,
10進数 0.75 を2進数に変換せよ,0.11,0.01;0.10;1.01,"0.75×2=1.5(1), 0.5×2=1.0(1) → 0.11₂",,
10進数 0.5 を2進数に変換せよ,0.1,0.01;0.11;1.0,0.5×2=1.0(1) → 0.1₂,,
10進数 0.25 を2進数に変換せよ,0.01,0.10;0.11;0.001,"0.25×2=0.5(0), 0.5×2=1.0(1) → 0.01₂",,
16進数で 10₁₀ を表すアルファベットは？,A,B;F;E,"10=A, 11=B, 12=C, 13=D, 14=E, 15=F",,
16進数の F は10進数でいくつか？,15,16;14;10,"A=10, B=11, C=12, D=13, E=14, F=15",,
8進数 265 を16進数に変換せよ（10進数を経由）,B5,A5;C5;D5,① 8進→10進: 2×64+6×8+5=181₁₀  ② 10進→16進: 181÷16=11…5 → B5₁₆,,
2進数 1111 は10進数、8進数、16進数でそれぞれ何か？,10進数:15 8進数:17 16進数:F,,10進: 8+4+2+1=15  8進: 001|111→17  16進: 1111→F,,
2進数で表現できる8ビットの最大値を10進数で答えよ,255,256;127;128,11111111₂ = 2⁸-1 = 255₁₀,,
"2のべき乗について、2⁰, 2¹, 2², 2³, 2⁴, 2⁵, 2⁶, 2⁷, 2⁸ の値を順に答えよ",1;2;4;8;16;32;64;128;256,,基数変換で頻出。暗記しておくと計算が速くなる,1,
2進数と8進数の変換で3桁ずつグループ化する理由は？,8は2の3乗だから,8は2の4乗だから;8進数は3種類の数字を使うから;3桁が計算しやすいから,8=2³ の関係があるため、2進数3桁がちょうど8進数1桁に対応する,,
2進数と16進数の変換で4桁ずつグループ化する理由は？,16は2の4乗だから,16は2の3乗だから;16進数は4種類の数字を使うから;4桁が計算しやすいから,16=2⁴ の関係があるため、2進数4桁がちょうど16進数1桁に対応する,,
