question,answers,wrongChoices,explanation,ordered,generatedWrongChoices
【3:コンピュータ構成要素】パイプライン とは？,命令の各段階を並行して実行し処理を高速化する技術,,大分類:2:コンピュータシステム / 中分類:3:コンピュータ構成要素,,
【3:コンピュータ構成要素】スーパースカラ とは？,複数のパイプラインで複数の命令を同時に実行する方式,,大分類:2:コンピュータシステム / 中分類:3:コンピュータ構成要素,,
【3:コンピュータ構成要素】マルチコアプロセッサ とは？,1つのCPUに複数の演算コアを搭載したプロセッサ,,大分類:2:コンピュータシステム / 中分類:3:コンピュータ構成要素,,
【3:コンピュータ構成要素】MIPS とは？,1秒間に実行できる命令数を百万単位で表すプロセッサの性能指標,,大分類:2:コンピュータシステム / 中分類:3:コンピュータ構成要素,,
【3:コンピュータ構成要素】クロック周波数 とは？,CPUの動作速度を表す指標。GHz単位で表す,,大分類:2:コンピュータシステム / 中分類:3:コンピュータ構成要素,,
【3:コンピュータ構成要素】RAM とは？,読み書き可能な揮発性の主記憶装置。電源を切るとデータが消える,,大分類:2:コンピュータシステム / 中分類:3:コンピュータ構成要素,,
【3:コンピュータ構成要素】ROM とは？,読み出し専用の不揮発性メモリ。BIOSなどの格納に使用,,大分類:2:コンピュータシステム / 中分類:3:コンピュータ構成要素,,
【3:コンピュータ構成要素】DRAM とは？,定期的なリフレッシュが必要なRAM。主記憶装置に使用。安価で大容量,,大分類:2:コンピュータシステム / 中分類:3:コンピュータ構成要素,,
【3:コンピュータ構成要素】SRAM とは？,リフレッシュ不要で高速なRAM。キャッシュメモリに使用,,大分類:2:コンピュータシステム / 中分類:3:コンピュータ構成要素,,
【3:コンピュータ構成要素】フラッシュメモリ とは？,書き換え可能な不揮発性メモリ。USBメモリやSSDに使用,,大分類:2:コンピュータシステム / 中分類:3:コンピュータ構成要素,,
【3:コンピュータ構成要素】キャッシュメモリ とは？,CPUと主記憶の速度差を埋める高速小容量のメモリ,,大分類:2:コンピュータシステム / 中分類:3:コンピュータ構成要素,,
【3:コンピュータ構成要素】記憶階層 とは？,レジスタ→キャッシュ→主記憶→補助記憶の順で容量が増え速度が下がる構造,,大分類:2:コンピュータシステム / 中分類:3:コンピュータ構成要素,,
【3:コンピュータ構成要素】メモリインターリーブ とは？,主記憶を複数バンクに分割し並行アクセスで高速化する技術,,大分類:2:コンピュータシステム / 中分類:3:コンピュータ構成要素,,
【3:コンピュータ構成要素】ヒット率 とは？,キャッシュメモリに目的のデータが存在する確率,,大分類:2:コンピュータシステム / 中分類:3:コンピュータ構成要素,,
【3:コンピュータ構成要素】USB とは？,パソコンと周辺機器を接続する汎用シリアルインタフェース規格,,大分類:2:コンピュータシステム / 中分類:3:コンピュータ構成要素,,
【3:コンピュータ構成要素】HDMI とは？,映像と音声をデジタルで伝送するインタフェース規格,,大分類:2:コンピュータシステム / 中分類:3:コンピュータ構成要素,,
【3:コンピュータ構成要素】Bluetooth とは？,近距離無線通信の規格。マウスやイヤホン等の接続に使用,,大分類:2:コンピュータシステム / 中分類:3:コンピュータ構成要素,,
【3:コンピュータ構成要素】NFC とは？,近距離無線通信技術。交通系ICカードや電子マネーに使用,,大分類:2:コンピュータシステム / 中分類:3:コンピュータ構成要素,,
【3:コンピュータ構成要素】DMA とは？,CPUを介さず周辺装置とメモリ間で直接データ転送を行う方式,,大分類:2:コンピュータシステム / 中分類:3:コンピュータ構成要素,,
【3:コンピュータ構成要素】SSD とは？,フラッシュメモリを使った補助記憶装置。HDDより高速で耐衝撃性が高い,,大分類:2:コンピュータシステム / 中分類:3:コンピュータ構成要素,,
【4:システム構成要素】クライアントサーバシステム とは？,サービスを要求するクライアントと提供するサーバで構成するシステム形態,,大分類:2:コンピュータシステム / 中分類:4:システム構成要素,,
【4:システム構成要素】3層アーキテクチャ とは？,プレゼンテーション層・ファンクション層・データ層の3層で構成するシステム,,大分類:2:コンピュータシステム / 中分類:4:システム構成要素,,
【4:システム構成要素】仮想化 とは？,物理的な資源を論理的に分割・統合して利用する技術,,大分類:2:コンピュータシステム / 中分類:4:システム構成要素,,
【4:システム構成要素】クラウドコンピューティング とは？,インターネット経由でコンピュータ資源を利用するサービス形態,,大分類:2:コンピュータシステム / 中分類:4:システム構成要素,,
【4:システム構成要素】SaaS とは？,ソフトウェアをインターネット経由でサービスとして提供する形態,,大分類:2:コンピュータシステム / 中分類:4:システム構成要素,,
【4:システム構成要素】PaaS とは？,アプリケーションの開発・実行環境をサービスとして提供する形態,,大分類:2:コンピュータシステム / 中分類:4:システム構成要素,,
【4:システム構成要素】IaaS とは？,サーバやネットワーク等のインフラをサービスとして提供する形態,,大分類:2:コンピュータシステム / 中分類:4:システム構成要素,,
【4:システム構成要素】デュアルシステム とは？,同じ処理を2系統で行い結果を照合する高信頼性システム構成,,大分類:2:コンピュータシステム / 中分類:4:システム構成要素,,
【4:システム構成要素】デュプレックスシステム とは？,主系と待機系で構成し、障害時に待機系に切り替えるシステム構成,,大分類:2:コンピュータシステム / 中分類:4:システム構成要素,,
【4:システム構成要素】RAID とは？,複数のディスクを組み合わせて信頼性や速度を向上させる技術,,大分類:2:コンピュータシステム / 中分類:4:システム構成要素,,
【4:システム構成要素】RAID0（ストライピング） とは？,データを複数ディスクに分散して書き込み速度を向上。冗長性なし,,大分類:2:コンピュータシステム / 中分類:4:システム構成要素,,
【4:システム構成要素】RAID1（ミラーリング） とは？,同じデータを2台のディスクに書き込み冗長性を確保,,大分類:2:コンピュータシステム / 中分類:4:システム構成要素,,
【4:システム構成要素】RAID5 とは？,パリティを分散配置し、1台故障時もデータ復旧可能な構成,,大分類:2:コンピュータシステム / 中分類:4:システム構成要素,,
【4:システム構成要素】フォールトトレラント とは？,障害が発生してもシステム全体の機能を維持する設計思想,,大分類:2:コンピュータシステム / 中分類:4:システム構成要素,,
【4:システム構成要素】フェールセーフ とは？,障害発生時に安全な方向に制御する設計思想,,大分類:2:コンピュータシステム / 中分類:4:システム構成要素,,
【4:システム構成要素】フェールソフト とは？,障害発生時に機能を縮退させて運転を継続する設計思想,,大分類:2:コンピュータシステム / 中分類:4:システム構成要素,,
【4:システム構成要素】フールプルーフ とは？,人間が誤操作しても危険な状態にならないようにする設計思想,,大分類:2:コンピュータシステム / 中分類:4:システム構成要素,,
【4:システム構成要素】MTBF とは？,平均故障間隔。故障から次の故障までの平均時間。信頼性の指標,,大分類:2:コンピュータシステム / 中分類:4:システム構成要素,,
【4:システム構成要素】MTTR とは？,平均修理時間。故障から復旧までの平均時間。保守性の指標,,大分類:2:コンピュータシステム / 中分類:4:システム構成要素,,
【4:システム構成要素】稼働率 とは？,システムが正常に動作している時間の割合。MTBF/(MTBF+MTTR),,大分類:2:コンピュータシステム / 中分類:4:システム構成要素,,
【4:システム構成要素】スループット とは？,単位時間あたりに処理できる仕事量,,大分類:2:コンピュータシステム / 中分類:4:システム構成要素,,
【4:システム構成要素】レスポンスタイム とは？,要求を発信してから最初の応答を受け取るまでの時間,,大分類:2:コンピュータシステム / 中分類:4:システム構成要素,,
【4:システム構成要素】TCO とは？,システムの導入から運用・廃棄までの総所有費用,,大分類:2:コンピュータシステム / 中分類:4:システム構成要素,,
【4:システム構成要素】スケールアウト とは？,サーバの台数を増やして処理能力を向上させること,,大分類:2:コンピュータシステム / 中分類:4:システム構成要素,,
【4:システム構成要素】スケールアップ とは？,サーバ自体の性能を上げて処理能力を向上させること,,大分類:2:コンピュータシステム / 中分類:4:システム構成要素,,
【4:システム構成要素】エッジコンピューティング とは？,ネットワークの末端（エッジ）でデータ処理を行い遅延を低減する方式,,大分類:2:コンピュータシステム / 中分類:4:システム構成要素,,
【5:ソフトウェア】OS（オペレーティングシステム） とは？,ハードウェアを管理し、アプリケーションに実行環境を提供する基本ソフトウェア,,大分類:2:コンピュータシステム / 中分類:5:ソフトウェア,,
【5:ソフトウェア】カーネル とは？,OSの中核部分。ハードウェアの制御やプロセス管理を行う,,大分類:2:コンピュータシステム / 中分類:5:ソフトウェア,,
【5:ソフトウェア】プロセス とは？,実行中のプログラムの単位。メモリやCPU資源が割り当てられる,,大分類:2:コンピュータシステム / 中分類:5:ソフトウェア,,
【5:ソフトウェア】スレッド とは？,プロセス内の実行単位。同一プロセスのスレッドはメモリを共有する,,大分類:2:コンピュータシステム / 中分類:5:ソフトウェア,,
【5:ソフトウェア】マルチタスク とは？,複数のタスクを同時に実行しているように見せるOSの機能,,大分類:2:コンピュータシステム / 中分類:5:ソフトウェア,,
【5:ソフトウェア】プリエンプティブ方式 とは？,OSが強制的にCPU使用権を切り替えるスケジューリング方式,,大分類:2:コンピュータシステム / 中分類:5:ソフトウェア,,
【5:ソフトウェア】ラウンドロビン とは？,各タスクに一定時間（タイムスライス）ずつCPUを割り当てるスケジューリング,,大分類:2:コンピュータシステム / 中分類:5:ソフトウェア,,
【5:ソフトウェア】仮想記憶 とは？,主記憶より大きなメモリ空間を提供する技術。補助記憶を活用,,大分類:2:コンピュータシステム / 中分類:5:ソフトウェア,,
